"""Illinois Dolostone"""
Falunien B fm
Falunien Fm
Faringdon Sand
Farley Ls
Faxoe Ls.
Fayetteville Fm
Fayetteville Sh
Feltville Fm
Ferguson Mountain Fm
Fermeuse Fm
Fern Glen Ls
Fern Glenn Fm
Fernando Fm
Fernvale Fm
Fernvale Ls
Ferron Point Fm
Ferron Point fm
Fezouata Fm
Ffairfach Grit
Ffestiniog Beds
Fiddlers Green Fm
Finis Sh
Fisher Fm
Fitch Fm
Fitch Fm/Littleton Fm
Flathead Ss
Fleming Fm?
Fleringer Sh
Florence Fm
Florissant
Florissant Fm
Foldvik Creek Fm
Folkstone Fm
Foraker Ls
Ford Ls
Forest Marble
Forest Marble Fm.
Forest Sandstone
Forge Hollow Dol
Forge Hollow Mbr
Formosa Reef Ls
Fort Cassin Fm
Fort Crittenden Fm
Fort Dodge Fm
Fort Hill Wl
Fort Logan Fm
Fort Payne Fm
Fort Pena Fm
Fort Pe§a Fm
Fort Riley Ls
Fort Scott Ls
Fort Scott Ls?
Fort Sill Ls
Fort Thompson Fm
Fort Thompson Marl
Fort Union
Fort Union Fm
Fort Union Fm?
Fort Union?
Fort Worth Ls
Fort Worth Ls?
Forteau Fm
Fossil Hill Fm
Four Mile Dam fm
Four Mile Dam Fm
Four Mile Dam Fm?
Fox Hills Fm
Fox Hills Fm?
Fram
Francis Fm
Franciscan Complex
Franconia Ss
Franconia Ss ?
Frankfort Sh
Franks Cgl
Fredericksburg Fm
Fremouw Fm
French River Fm
Frenchman Fm.
Frenchville Fm.
Friedrich Sh
Frontier Fm
Fruitland Fm
Fruitland Fm-Kirtland Fm
Fulton Sh
Funston Ls
Fur Fm
Futaba Fm
Galena Dol
Galena Fm
Galena Ls
Galesburg Fm
Galesburg Sh
Galisteo Fm
Gambier Ls
Gaptank
Gaptank Fm
Garden City Fm
Garden Valley Fm
Gargasian Fm
Garlock Fm
Garner Fm
Garrard Sltst
Garrison Fm
Garrison Sh
Gasconade Dol
Gascons Fm
Gashato Fm
Gaspe Ss
Gasper Fm
Gasport Dol
Gasworks Ss
Gatesburg Fm
